id,console-name,product-name,loose-price,cib-price,new-price,retail-loose-buy,retail-loose-sell,retail-cib-buy,retail-cib-sell,gamestop-price,gamestop-trade-price,upc
16533,3DO,Dragon Lore,$12.83 ,$42.57 ,$48.86 ,$2.60 ,$12.99 ,$18.00 ,$44.99 ,,,
16534,3DO,Dragon's Lair,$17.99 ,$28.99 ,$44.99 ,$3.80 ,$18.99 ,$9.00 ,$29.99 ,,,92667650032
35944,3DO,ESPN Baseball: Interactive Hitting,$8.84 ,$19.91 ,$22.51 ,$1.86 ,$9.29 ,$6.30 ,$20.99 ,,,7.6914E+11
35949,3DO,ESPN Golf: Lower Your Score With Tom Kite,$9.94 ,$9.97 ,$14.00 ,$2.00 ,$9.99 ,$2.00 ,$9.99 ,,,7.6914E+11
35945,3DO,ESPN Let's Go Skiing,$5.85 ,$24.24 ,$48.49 ,$1.22 ,$6.09 ,$7.50 ,$24.99 ,,,
35783,3DO,ESPN Let's Play Beach Volleyball,$6.14 ,$13.50 ,$14.99 ,$1.30 ,$6.49 ,$2.80 ,$13.99 ,,,
35946,3DO,ESPN Let's Play Soccer,$8.41 ,$18.51 ,$37.02 ,$1.76 ,$8.79 ,$3.80 ,$18.99 ,,,7.6914E+11
35947,3DO,ESPN Let's Play Tennis,$9.99 ,$33.15 ,$39.99 ,$2.00 ,$9.99 ,$10.50 ,$34.99 ,,,
16539,3DO,ESPN Step Aerobics,$13.41 ,$14.73 ,$14.73 ,$2.80 ,$13.99 ,$3.00 ,$14.99 ,,,
16537,3DO,Endlessly,$35.63 ,$62.00 ,$105.00 ,$14.80 ,$36.99 ,$26.00 ,$64.99 ,,,6.67344E+11
16538,3DO,Escape from Monster Manor,$19.14 ,$30.50 ,$52.01 ,$4.00 ,$19.99 ,$9.60 ,$31.99 ,,,14633073065
16543,3DO,FIFA International Soccer,$8.00 ,$9.11 ,$14.87 ,$1.68 ,$8.39 ,$1.90 ,$9.59 ,,,14633073850
16540,3DO,Family Feud,$8.62 ,$18.34 ,$21.88 ,$1.82 ,$9.09 ,$3.80 ,$18.99 ,,,
16541,3DO,Fatty Bear's Birthday Surprise,$8.00 ,$19.97 ,$57.80 ,$1.68 ,$8.39 ,$6.30 ,$20.99 ,,,
16542,3DO,Fatty Bear's Fun Pack,$10.59 ,$30.96 ,$47.30 ,$2.20 ,$10.99 ,$9.90 ,$32.99 ,,,
16544,3DO,Flashback: The Quest for Identity,$11.96 ,$25.45 ,$83.17 ,$2.60 ,$12.99 ,$8.10 ,$26.99 ,,,7.43176E+11
16545,3DO,Flying Nightmares,$8.27 ,$19.99 ,$21.57 ,$1.74 ,$8.69 ,$6.30 ,$20.99 ,,,
16546,3DO,Foes of Ali,$9.99 ,$13.62 ,$20.49 ,$2.00 ,$9.99 ,$2.80 ,$13.99 ,,,14633073454
16547,3DO,Fun 'N Games,$9.18 ,$11.25 ,$19.01 ,$1.92 ,$9.59 ,$2.40 ,$11.99 ,,,37988830190
16548,3DO,Game Guru,$26.11 ,$33.59 ,$128.42 ,$8.10 ,$26.99 ,$10.50 ,$34.99 ,,,7.90561E+11
46398,3DO,GameGun,$72.45 ,$145.00 ,$290.00 ,$30.40 ,$75.99 ,$60.80 ,$151.99 ,,,
16549,3DO,Gex,$14.91 ,$32.87 ,$59.33 ,$3.20 ,$15.99 ,$10.50 ,$34.99 ,,,7.6598E+11
16550,3DO,Gridders,$13.32 ,$24.42 ,$48.84 ,$2.80 ,$13.99 ,$7.80 ,$25.99 ,,,7.91054E+11
16551,3DO,Guardian War,$13.50 ,$18.85 ,$37.69 ,$2.80 ,$13.99 ,$4.00 ,$19.99 ,,,37988830077
35948,3DO,Gunslinger Collection,$24.62 ,$29.51 ,$72.94 ,$7.80 ,$25.99 ,$9.30 ,$30.99 ,,,
16552,3DO,Hell: A Cyberpunk Thriller,$12.97 ,$20.85 ,$50.75 ,$2.80 ,$13.99 ,$6.60 ,$21.99 ,,,43948003580
16553,3DO,Horde,$13.75 ,$44.25 ,$57.58 ,$2.80 ,$13.99 ,$18.40 ,$45.99 ,,,7.6598E+11
16554,3DO,Icebreaker,$12.33 ,$19.99 ,$29.19 ,$2.60 ,$12.99 ,$6.30 ,$20.99 ,,,37988830268
16555,3DO,Immercenary,$15.89 ,$19.25 ,$22.31 ,$3.40 ,$16.99 ,$4.00 ,$19.99 ,,,14633073140
16556,3DO,Immortal Desire,$46.00 ,$47.79 ,$108.56 ,$19.20 ,$47.99 ,$20.00 ,$49.99 ,,,
16557,3DO,Incredible Machine,$8.00 ,$11.33 ,$13.99 ,$1.68 ,$8.39 ,$2.40 ,$11.99 ,,,20626036351
16558,3DO,Iron Angel of the Apocalypse,$9.43 ,$20.00 ,$26.22 ,$1.98 ,$9.89 ,$6.30 ,$20.99 ,,,7.03344E+11
16559,3DO,Iron Angel of the Apocalyspe: The Return,$16.99 ,$27.00 ,$31.89 ,$3.60 ,$17.99 ,$8.40 ,$27.99 ,,,
31642,3DO,It's a Bird's Life,$19.95 ,$29.00 ,$42.78 ,$6.30 ,$20.99 ,$9.00 ,$29.99 ,,,
16561,3DO,Jammit,$15.34 ,$18.39 ,$35.08 ,$3.20 ,$15.99 ,$3.80 ,$18.99 ,,,7.27995E+11
16562,3DO,John Madden Football,$5.94 ,$10.31 ,$15.50 ,$1.24 ,$6.19 ,$2.20 ,$10.99 ,,,14633072204
16563,3DO,Johnny Bazookatone,$16.73 ,$33.77 ,$86.00 ,$3.60 ,$17.99 ,$10.50 ,$34.99 ,,,7.43176E+11
16564,3DO,Jurassic Park Interactive,$15.25 ,$23.00 ,$46.00 ,$3.20 ,$15.99 ,$7.20 ,$23.99 ,,,7.8567E+11
16565,3DO,Killing Time,$21.37 ,$31.43 ,$82.09 ,$6.60 ,$21.99 ,$9.90 ,$32.99 ,,,7.90561E+11
16566,3DO,Kingdom: The Far Reaches,$16.41 ,$22.45 ,$25.39 ,$3.40 ,$16.99 ,$7.20 ,$23.99 ,,,40421290529
16567,3DO,Last Bounty Hunter,$24.83 ,$27.41 ,$41.58 ,$7.80 ,$25.99 ,$8.70 ,$28.99 ,,,
16568,3DO,Lemmings,$24.99 ,$62.69 ,$76.00 ,$7.80 ,$25.99 ,$26.40 ,$65.99 ,,,53203010178
16569,3DO,Life Stage: Virtual House,$11.74 ,$18.00 ,$32.00 ,$2.40 ,$11.99 ,$3.80 ,$18.99 ,,,
16570,3DO,Lost Eden,$29.04 ,$70.34 ,$149.12 ,$9.00 ,$29.99 ,$29.60 ,$73.99 ,,,52145930100
16571,3DO,Lost Files of Sherlock Holmes,$13.19 ,$29.99 ,$60.04 ,$2.80 ,$13.99 ,$9.30 ,$30.99 ,,,14633072853
16572,3DO,Love Bites,$45.08 ,$66.38 ,$81.00 ,$18.80 ,$46.99 ,$28.00 ,$69.99 ,,,
16573,3DO,Lucienne's Quest,$158.19 ,$317.91 ,$711.86 ,$66.40 ,$165.99 ,$133.60 ,$333.99 ,,,6.45712E+11
16574,3DO,Mad Dog II: The Lost Gold,$11.83 ,$22.23 ,$44.74 ,$2.40 ,$11.99 ,$6.90 ,$22.99 ,,,7.67861E+11
16575,3DO,Mad Dog McCree,$16.38 ,$24.99 ,$55.51 ,$3.40 ,$16.99 ,$7.80 ,$25.99 ,,,
16576,3DO,Mathemagics,$36.25 ,$119.43 ,$213.51 ,$15.20 ,$37.99 ,$50.00 ,$124.99 ,,,
16577,3DO,Mazer,$7.75 ,$24.99 ,$28.38 ,$1.62 ,$8.09 ,$7.80 ,$25.99 ,,,7.67861E+11
16578,3DO,MegaRace,$17.18 ,$50.50 ,$78.26 ,$3.60 ,$17.99 ,$21.20 ,$52.99 ,,,
16579,3DO,Microcosm,$15.00 ,$19.48 ,$27.95 ,$3.20 ,$15.99 ,$4.00 ,$19.99 ,,,
16580,3DO,Mind Teazzer,$46.95 ,$75.64 ,$125.25 ,$19.60 ,$48.99 ,$31.60 ,$78.99 ,,,
16581,3DO,Myst,$7.98 ,$18.25 ,$27.37 ,$1.68 ,$8.39 ,$3.80 ,$18.99 ,,,37988830183
16582,3DO,Need for Speed,$19.99 ,$23.25 ,$28.35 ,$6.30 ,$20.99 ,$7.20 ,$23.99 ,,,14633073553
16583,3DO,NeuroDancer: Journey Into The Neuronet,$89.22 ,$149.50 ,$401.49 ,$37.60 ,$93.99 ,$62.80 ,$156.99 ,,,
16584,3DO,Night Trap,$46.35 ,$69.62 ,$79.99 ,$19.60 ,$48.99 ,$29.20 ,$72.99 ,,,52145930018
16585,3DO,Novastorm,$14.27 ,$24.99 ,$30.00 ,$3.00 ,$14.99 ,$7.80 ,$25.99 ,,,53203013346
16586,3DO,Oceans Below,$12.85 ,$21.98 ,$30.00 ,$2.60 ,$12.99 ,$6.90 ,$22.99 ,,,
16587,3DO,Off-World Interceptor,$7.29 ,$19.61 ,$32.82 ,$1.54 ,$7.69 ,$6.30 ,$20.99 ,,,
16588,3DO,Olympic Soccer,$10.00 ,$58.60 ,$71.25 ,$2.20 ,$10.99 ,$24.80 ,$61.99 ,,,
16589,3DO,Olympic Summer Games,$18.99 ,$20.68 ,$34.08 ,$4.00 ,$19.99 ,$6.60 ,$21.99 ,,,
16590,3DO,Out of This World,$12.16 ,$40.00 ,$64.08 ,$2.60 ,$12.99 ,$16.80 ,$41.99 ,,,40421290239
16594,3DO,PGA Tour 96,$5.00 ,$7.09 ,$11.16 ,$1.06 ,$5.29 ,$1.50 ,$7.39 ,,,14633074956
16597,3DO,PO'ed,$20.14 ,$24.74 ,$75.00 ,$6.30 ,$20.99 ,$7.80 ,$25.99 ,,,7.90561E+11
16591,3DO,Panzer General,$10.99 ,$24.49 ,$33.49 ,$2.40 ,$11.99 ,$7.80 ,$25.99 ,,,16685032144
16592,3DO,Pataank,$12.50 ,$14.83 ,$46.20 ,$2.60 ,$12.99 ,$3.20 ,$15.99 ,,,7.93376E+11
16593,3DO,Pebble Beach Golf Links,$4.09 ,$5.88 ,$11.10 ,$0.86 ,$4.29 ,$1.20 ,$6.19 ,,,37988830039
35950,3DO,Perfect General,$7.14 ,$29.95 ,$40.22 ,$1.50 ,$7.49 ,$9.30 ,$30.99 ,,,7.98695E+11
16595,3DO,Phoenix 3,$13.51 ,$29.72 ,$86.37 ,$2.80 ,$13.99 ,$9.30 ,$30.99 ,,,7.90561E+11
16596,3DO,Plumbers Don't Wear Ties,$57.09 ,$128.14 ,$256.88 ,$24.00 ,$59.99 ,$54.00 ,$134.99 ,,,7.98695E+11
16600,3DO,Primal Rage,$24.99 ,$37.93 ,$75.86 ,$7.80 ,$25.99 ,$16.00 ,$39.99 ,,,48231072014
16601,3DO,Psychic Detective,$15.00 ,$26.59 ,$47.03 ,$3.20 ,$15.99 ,$8.40 ,$27.99 ,,,14633072631
16604,3DO,Putt-Putt Fun Pack,$15.02 ,$19.26 ,$69.28 ,$3.20 ,$15.99 ,$4.00 ,$19.99 ,,,
